RANK;ATHLETE;NATION;Manama A;Riga A;San Salvador A;Luxembourg A;Heraklion A;Udine A;Šabac A;Bâle A;Dubai CHZ;Lagos CHZ;Sochi CHZ;San-Jose CHZ;Verona CHM;TOTAL
276;SHAHDAD Omran;UAE;;;;;;;;;3.00;;;;;3.00
277;RAHI Marc;LBN;;;;;;;;;3.00;;;;;3.00
278;JENNY David;SUI;;0.00;;;;;2.00;1.00;;;;;;3.00
279;VASSEUR Yoran;FRA;;;;1.00;2.00;;;;;;;;;3.00
280;KANETAKA Taijoh;JPN;;1.00;;2.00;;;;0.00;;;;;;3.00
281;ALAMO Raul;ESP;;0.00;;;1.00;;2.00;;;;;;;3.00
282;SZKOP Wiktor;POL;;0.00;;2.00;1.00;;;;;;;;;3.00
283;VOLAK Samuel;CZE;;2.00;;0.00;1.00;0.00;;0.00;;;;;;3.00
284;SHEVCHENKO Viktor;UKR;;0.00;;;0.00;;1.00;2.00;;;;;;3.00
285;ROUSSEL Thomas;CIV;;;;2.00;1.00;;;;;;;;;3.00
286;RECLO Martin;SVK;;0.00;;0.00;1.00;1.00;0.00;1.00;;;0.00;;0.00;3.00
287;LEE Simon Renjie;SGP;;;;0.00;;;;;;;;;2.50;2.50
288;CHICHEV Vladimir;RUS;;;;0.00;2.00;;;;;;;;;2.00
289;ALBALUSHI Abdulla;BRN;2.00;;;;;;;;;;;;;2.00
