RANK;ATHLETE;NATION;San Salvador A;San-Juan A;Luxembourg A;Burgos A;Udine A;Maalot A;Bratislava A;Dijon A;Alger CHZ;Foggia CHZ;Bogota CHZ;Amman CHZ;TORUN CHM;TOTAL
243;ZGRYZNIAK Kinga;POL;;;1.00;2.00;;;0.50;;;;;;;3.50
244;CERVENKOVA Katerina;CZE;;;1.00;;0.50;;1.00;1.00;;;;;;3.50
245;MADEIRA Catarina;POR;;;;1.00;;;;;;0.00;;;2.50;3.50
246;LOFGREN Sonja;SWE;;;2.00;0.25;;;1.00;;;;;;;3.25
247;KOLCZONAY Borbala;HUN;;;;2.00;1.00;;0.25;;;;;;;3.25
248;RITAKALLIO Rilla;FIN;;;0.50;;;;0.25;;;0.00;;;2.50;3.25
249;ALKLOUB Shahed;JOR;;;;;;;;;;;;3.00;;3.00
250;UCHIDA Juri;JPN;;2.00;;0.50;;;0.50;;;;;;;3.00
251;BARNES Rachel;GBR;;2.00;;;1.00;;;;;;;;;3.00
252;CHUA Keziah Zelci Rein;PHI;;;;;;;;;;;;3.00;;3.00
253;SHIH Hui Jou;TPE;;;;;;;;;;;;3.00;0.00;3.00
254;SAYSON Samantha Beatrice;PHI;;;;;;;;;;;;3.00;0.00;3.00
255;YEE Amelie;AUS;;;;;;;;;;;;3.00;0.00;3.00
256;THANARATTANAPHAN Vantana;THA;;;;;;;;;;;;3.00;;3.00
256;MATIAS Andrea Jennelle;PHI;;;;;;;;;;;;3.00;;3.00
258;BUGA Mariya;TKM;;;;;;;;;;;;3.00;;3.00
259;CHU Tsung-Wen;TPE;;;;;;;;;;;;3.00;0.00;3.00
260;ALMARZOOQI Fajar;UAE;;;;;;;;;;;;3.00;;3.00
261;VASANASOMSITHI Pacharaporn;THA;;;;;;;;;;;;3.00;0.00;3.00
262;OBAID Ayesha;UAE;;;;;;;;;;;;3.00;;3.00
263;HALABIYA Malak;PLE;;;;;;;;;;;;3.00;;3.00
264;AMMAR Jana;LBN;;;;;;;;;;;;3.00;;3.00
265;SKRZYPCZAK Wiktoria;POL;;;0.00;2.00;;;0.50;0.50;;;;;;3.00
266;KOLETSOU Evrydiki;GRE;;;;;;;;;;3.00;;;;3.00
267;JASNA Adela;CZE;;;0.00;;2.00;;0.00;1.00;;;;;;3.00
268;BEKEN Solane;BEL;;;1.00;1.00;1.00;;;;;;;;;3.00
269;GREUL Kerstin;GER;;;0.00;0.25;0.50;;2.00;;;;;;;2.75
270;LEE Madeleine;GBR;;;2.00;0.25;0.50;;;;;;;;;2.75
271;SZABO Viktoria;HUN;;;;0.25;0.50;;2.00;;;;;;;2.75
272;ERSOY Merve;TUR;;;;;2.00;;0.25;0.50;;0.00;;;;2.75
273;TAKAHASHI Erika;JPN;;;;0.25;;;0.00;;;;;;2.50;2.75
274;BOGDANOV Adele;ISR;;;;0.50;;2.00;;;;;;;;2.50
275;TORREGO Alicia;ESP;;;;0.50;;;;2.00;;;;;0.00;2.50
276;POTOCKOVA Katerina;CZE;;;0.50;;0.00;;0.00;2.00;;;;;;2.50
277;EGERSZEGI Alexandra;HUN;;;;0.50;;;2.00;;;;;;;2.50
278;PIATTI Sabrina;ITA;;;1.00;;0.50;;;1.00;;;;;;2.50
279;SAPIN Galadrielle Tunde;SUI;;;1.00;0.50;1.00;;0.00;0.00;;;;;;2.50
280;TEUBER Carolin;GER;;;1.00;0.00;1.00;;0.50;;;;;;;2.50
281;COEYTAUX Loyse;FRA;;;1.00;0.25;0.00;;;1.00;;;;;;2.25
282;TAMBOVTSEVA Alexandra;KAZ;;;0.00;;;;;1.00;;;;;1.25;2.25
283;SPATENKOVA Anna;CZE;;;1.00;;1.00;;0.25;0.00;;;;;;2.25
284;STAVICKAJA Ivona;LTU;;;;;;;1.00;;;;;;1.25;2.25
285;CALDERARO Margherita;ITA;;;;;;2.00;;;;;;;;2.00
286;ELAMUR Mia;ISR;;;;;;2.00;;;;;;;;2.00
287;APONTE RODRIGUEZ Monica;PUR;;2.00;;;;;;;;;;;;2.00
288;PANTSIALEYEVA Yeva;BLR;;;;;;2.00;;;;;;;;2.00
289;MEDLIN BETANCOURT Sofia Beatriz;PUR;;2.00;;;;;;;;;;;;2.00
289;DYERKTOR Kamila;ISR;;;;;;2.00;;;;;;;;2.00
291;TAL Roni;ISR;;;;;;2.00;;;;;;;;2.00
292;MARTINI Margherita;ITA;;;;;;2.00;;;;;;;;2.00
292;LANDO Tamara;UKR;;;;;;2.00;;;;;;;;2.00
294;YIZHAKI Yuval;ISR;;;;;;2.00;;;;;;;;2.00
295;KHRAMTSOV Anastasiya;ISR;;;;;;2.00;;;;;;;;2.00
296;SAADUN Lior;ISR;;;;;;2.00;;;;;;;;2.00
296;GZYUNOVA Anna;RUS;;;;2.00;;;;;;;;;;2.00
298;LIPTHAY Hanna;HUN;;;;;;;;2.00;;;;;;2.00
299;HANSSON Sofia;SWE;;;;0.00;;;2.00;;;0.00;;;;2.00
300;ENGDAHL Sophie;SWE;;;;2.00;;;0.00;;;;;;0.00;2.00
301;CHARLOT Apolline;FRA;;;;;;;;2.00;;;;;;2.00
302;PETRI Renata;HUN;;;;2.00;;;;;;;;;;2.00
303;MALVIK Katherina;NOR;;;1.00;1.00;0.00;;0.00;;;0.00;;;;2.00
304;AGATH Thordis;AUT;;;1.00;0.50;0.00;;0.50;;;;;;;2.00
305;SKOBLOV Sandra;EST;;;1.00;0.25;;;0.50;;;;;;;1.75
306;KHOROSHEVA Anastasia;RUS;;;;0.50;1.00;;0.25;;;;;;;1.75
307;JONAS Eva;GER;;;1.00;0.50;0.00;;;;;;;;;1.50
308;PROKSIKOVA Patricie;CZE;;;;;0.50;;0.00;1.00;;;;;;1.50
309;YETKIN Melissa;GER;;;0.00;0.50;;;1.00;;;;;;;1.50
310;VILLIGER Elin;SUI;;;0.00;;1.00;;;0.50;;;;;;1.50
311;LEGROS Flora;FRA;;;0.50;0.00;0.00;;;1.00;;;;;;1.50
312;POPOVA Kseniya;UKR;;;;;0.50;;1.00;;;;;;;1.50
313;STASZULONEK Karolina;POL;;;0.50;0.50;;;0.50;;;;;;;1.50
314;LABRO Emma;BEL;;;1.00;0.25;;;0.00;0.00;;;;;;1.25
315;MARUCHA Weronika;POL;;;1.00;;0.00;;0.25;;;;;;;1.25
316;SIMMS-LYMN Tia;JAM;;;;;;;;;;;;;1.25;1.25
317;GIORDANO Giorgia;BRA;;;;;;;;;;;;;1.25;1.25
318;HRISTOVA Silvena;BUL;;;;;;;;;;;;;1.25;1.25
319;YAMANAKA Mina;USA;;;1.00;;;;;;;;;;;1.00
320;ZELENTSOVA Alina;UKR;;;;1.00;;;0.00;;;;;;;1.00
321;CHAVIGNY Sophie;FRA;;;;;;;;1.00;;;;;;1.00
322;GABUTTI Emilie;SUI;;;;1.00;0.00;;0.00;;;;;;;1.00
323;LIN Jessica;USA;;;;;;;1.00;;;;;;;1.00
324;KROESE Katelijn;NED;;;1.00;0.00;;;0.00;0.00;;0.00;;;0.00;1.00
325;MUELLER Jule;GER;;;;;;;;1.00;;;;;;1.00
326;WRAMNER Natalie;SWE;;;;1.00;;;0.00;;;;;;;1.00
327;EUGENE Solene;FRA;;;;;;;;1.00;;;;;;1.00
328;SADOVA Dariia;UKR;;;;1.00;;;;;;;;;;1.00
